121,217,377,453,1.000000
119,215,375,451,0.998927
116,214,372,450,0.985599
114,213,370,449,0.950498
113,213,369,449,0.920913
113,213,369,449,0.917883
116,213,372,449,0.914469
120,212,376,448,0.922052
130,215,379,445,0.895673
160,218,401,441,0.910835
259,217,506,445,0.872909
337,214,593,450,0.812520
355,213,615,453,0.739457
350,214,608,452,0.745418
345,215,601,451,0.758452
322,217,570,446,0.780803
287,220,528,442,0.802717
217,225,448,437,0.815388
148,224,383,440,0.798443
121,223,357,440,0.833259
124,222,357,437,0.841356
130,223,362,437,0.823043
138,222,370,436,0.837499
156,222,389,437,0.816430
205,223,435,435,0.829055
258,221,491,436,0.808328
292,219,528,436,0.786862
293,219,530,437,0.795360
289,219,525,436,0.805755
288,221,520,435,0.811706
240,223,466,432,0.839210
195,224,421,433,0.858069
132,223,361,435,0.891083
92,222,320,434,0.877080
85,222,313,434,0.855455
97,223,322,432,0.868328
109,224,330,429,0.860302
142,226,359,427,0.832800
226,226,438,422,0.772049
226,226,438,422,0.772621
226,226,438,422,0.773859
226,226,436,420,0.775850
228,225,437,418,0.765381
229,225,436,416,0.766376
231,224,437,414,0.765401
232,224,437,414,0.793140
234,224,438,413,0.800635
236,226,437,412,0.830591
239,227,434,407,0.805615
238,228,429,404,0.808384
237,230,425,404,0.770190
238,229,424,401,0.816353
238,228,424,399,0.842060
238,226,424,397,0.864639
237,224,424,396,0.905633
253,253,401,390,0.621104
256,253,400,386,0.495095
257,254,397,383,0.497243
257,253,394,379,0.505062
260,253,394,376,0.512937
268,253,399,374,0.519720
269,253,397,371,0.522251
271,253,396,368,0.514493
272,254,393,365,0.462718
273,254,391,363,0.439598
274,254,390,361,0.433343
275,254,390,360,0.414478
276,254,388,357,0.405376
276,254,386,355,0.409975
277,255,385,355,0.365549
278,254,384,352,0.351864
279,255,383,351,0.348767
280,255,382,350,0.309932
281,254,381,347,0.254135
281,256,378,347,0.200143
282,256,378,346,0.192958
285,257,379,345,0.186321
288,259,378,343,0.175035
289,259,378,342,0.167576
289,259,377,341,0.171949
289,259,377,341,0.172631
289,259,377,341,0.174767
289,259,377,341,0.174333
289,259,377,341,0.173556
289,259,377,341,0.173248
298,255,395,346,0.197712
295,250,400,349,0.221206
295,249,401,349,0.243913
297,248,404,349,0.261266
298,248,404,348,0.260972
298,248,404,348,0.261900
298,247,405,348,0.274164
301,247,407,347,0.267404
302,247,406,346,0.266921
283,247,386,346,0.266963
248,246,351,345,0.265287
209,238,313,338,0.263962
208,237,312,337,0.263117
218,238,322,338,0.264324
234,240,338,340,0.266826
274,242,377,341,0.267092
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,Na
